DateTime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,sub_metering_remainder,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU
2006-12-16,3.0534747474747475,0.08818686868686867,236.24376262626262,13.082828282828283,0.0,546.0,4926.0,14680.933333333332,6.375,9.333,5.667,2.167,0.167
2006-12-17,2.354486111111111,0.1569486111111111,240.0870277777778,9.999027777777778,2033.0,4187.0,13341.0,36946.666666666664,6.375,9.333,5.667,2.167,0.167
2006-12-18,1.5304347222222223,0.11235555555555556,241.23169444444446,6.421666666666667,1063.0,2621.0,14018.0,19028.433333333334,6.375,9.333,5.667,2.167,0.167
2006-12-19,1.1570791666666667,0.10482083333333334,241.9993125,4.926388888888889,839.0,7602.0,6197.0,13131.9,6.375,9.333,5.667,2.167,0.167
2006-12-20,1.5456583333333334,0.11180416666666666,242.30806249999998,6.467361111111111,0.0,2648.0,14063.0,20384.8,6.375,9.333,5.667,2.167,0.167
2006-12-21,1.192438888888889,0.10011527777777778,241.04228472222223,5.028194444444445,1765.0,2623.0,10421.0,13809.533333333333,6.375,9.333,5.667,2.167,0.167
2006-12-22,1.6259291666666669,0.12979583333333333,241.1845486111111,6.872916666666667,3151.0,350.0,11131.0,24390.3,6.375,9.333,5.667,2.167,0.167
2006-12-23,3.314851388888889,0.15379861111111112,240.1360763888889,14.028055555555557,2669.0,425.0,14726.0,61736.433333333334,6.375,9.333,5.667,2.167,0.167
2006-12-24,1.7708416666666669,0.10409722222222223,241.6874375,7.640416666666667,1703.0,5082.0,6891.0,28824.2,6.375,9.333,5.667,2.167,0.167
2006-12-25,1.9049444444444443,0.1668611111111111,243.39993055555558,7.951527777777779,6620.0,1962.0,5795.0,31341.666666666668,6.375,9.333,5.667,2.167,0.167
2006-12-26,2.7320208333333333,0.11465416666666667,241.6254375,11.347916666666666,1086.0,2533.0,14979.0,46970.5,6.375,9.333,5.667,2.167,0.167
2006-12-27,1.0616388888888888,0.12423749999999999,243.76736111111111,4.5175,0.0,314.0,6976.0,18189.333333333332,6.375,9.333,5.667,2.167,0.167
2006-12-28,1.4393319444444443,0.14505277777777778,243.26833333333335,6.086250000000001,2207.0,4419.0,9176.0,18741.966666666667,6.375,9.333,5.667,2.167,0.167
2006-12-29,2.204438888888889,0.13638472222222223,240.87130555555555,9.271388888888888,1252.0,5162.0,11329.0,35163.53333333333,6.375,9.333,5.667,2.167,0.167
2006-12-30,1.9456513888888887,0.2171916666666667,240.53632638888888,8.317083333333333,3148.0,7929.0,12516.0,23102.633333333335,6.375,9.333,5.667,2.167,0.167
2006-12-31,2.426525,0.10475833333333334,239.8965763888889,10.199583333333333,0.0,347.0,6502.0,51387.6,6.375,9.333,5.667,2.167,0.167
2007-01-01,1.9090305555555556,0.10289305555555556,240.12897916666665,7.916944444444444,0.0,352.0,5880.0,39584.73333333333,2.836,10.2,0.6,0.0,0.0
2007-01-02,0.8814138888888889,0.13218194444444445,241.94377777777777,3.7140277777777775,0.0,348.0,6562.0,14243.933333333332,2.836,10.2,0.6,0.0,0.0
2007-01-03,0.7042041666666666,0.13661666666666666,243.5570902777778,3.0140277777777778,0.0,344.0,4765.0,11791.9,2.836,10.2,0.6,0.0,0.0
2007-01-04,2.2634805555555553,0.1404875,239.7502986111111,9.478194444444444,1051.0,7597.0,10896.0,34779.53333333333,2.836,10.2,0.6,0.0,0.0
2007-01-05,1.8842805555555555,0.12024583333333333,240.49576388888892,7.885138888888889,1483.0,379.0,7602.0,35758.73333333333,2.836,10.2,0.6,0.0,0.0
2007-01-06,1.047484722222222,0.13346388888888888,239.67305555555555,4.543888888888889,1336.0,402.0,5678.0,17723.633333333335,2.836,10.2,0.6,0.0,0.0
2007-01-07,1.6997361111111111,0.17088472222222223,240.90248611111113,7.282638888888889,1987.0,8177.0,12810.0,17819.666666666668,2.836,10.2,0.6,0.0,0.0
2007-01-08,1.5565,0.14414444444444446,239.5769513888889,6.551666666666667,0.0,467.0,17547.0,19342.0,2.836,10.2,0.6,0.0,0.0
2007-01-09,1.2979541666666667,0.14392222222222223,240.48752083333335,5.521111111111111,1688.0,4267.0,9790.0,15405.9,2.836,10.2,0.6,0.0,0.0
2007-01-10,1.496388888888889,0.15864722222222222,241.02745138888892,6.357777777777779,771.0,4456.0,11012.0,19674.333333333332,2.836,10.2,0.6,0.0,0.0
